# epsilon,alpha,estimated_value,lower_bound,upper_bound,exact_value
8.000000000000000167e-03,5.000000000000000278e-02,1.684011834381314299e-01,1.626780599156009977e-01,1.741243069606619731e-01,1.622760935008731586e-01
9.000000000000001055e-03,1.000000000000000021e-02,1.674411207119692324e-01,1.605817909499639984e-01,1.743004504739746330e-01,1.622760935008731586e-01
9.000000000000001055e-03,2.000000000000000042e-02,1.670884835057734052e-01,1.603874697217929912e-01,1.737894972897538193e-01,1.622760935008731586e-01
9.000000000000001055e-03,2.999999999999999889e-02,1.671246436658961609e-01,1.613497708698015953e-01,1.728995164619907543e-01,1.622760935008731586e-01
9.000000000000001055e-03,4.000000000000000083e-02,1.656093287899329802e-01,1.598073107897753642e-01,1.714113467900905685e-01,1.622760935008731586e-01
9.000000000000001055e-03,5.000000000000000278e-02,1.698314954427099788e-01,1.642017126253418335e-01,1.754612782600781240e-01,1.622760935008731586e-01
1.000000000000000021e-02,1.000000000000000021e-02,1.707252659670870087e-01,1.642314490550864925e-01,1.772190828790875250e-01,1.622760935008731586e-01
1.000000000000000021e-02,2.000000000000000042e-02,1.686428348695466206e-01,1.605336915685716681e-01,1.767519781705217119e-01,1.622760935008731586e-01
1.000000000000000021e-02,2.999999999999999889e-02,1.658064862100313286e-01,1.613343490689402582e-01,1.702786233511224268e-01,1.622760935008731586e-01
1.000000000000000021e-02,4.000000000000000083e-02,1.785777814554463661e-01,1.567851694608144164e-01,2.003703934500781769e-01,1.622760935008731586e-01
1.000000000000000021e-02,5.000000000000000278e-02,1.661506994793780778e-01,1.448923055191546905e-01,1.874090934396014374e-01,1.622760935008731586e-01
